Fonte,Título,Link,Área,Localidade,Salário,Habilidades,Empresa,Publicada em,Modalidade,Requisitos,Descrição
catho,professor Matemática,https://www.catho.com.br/vagas/professor-matematica/33219764/,,,,,,,,,"CANDIDATURA FÁCIL professor Matemática COLÉGIO ÂNCORA Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Guarulhos - SP (1) Publicada hoje planejamento de aula , e ensinar continuar lendo Enviar Candidatura Fácil"
catho,Pintor Eletrostático,https://www.catho.com.br/vagas/pintor-eletrostatico/33224789/,,,,,,,,,"CANDIDATURA FÁCIL Pintor Eletrostático Empresa ConfidencialPor que? Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Valinhos - SP (1) Publicada hoje Preparar peças para pintura (limpeza, mascaramento, pendurar/despendurar); Realizar aplicação de tinta em cabine de pintura eletrostática a pó; Controlar espessura de camada e… continuar lendo Enviar Candidatura Fácil"
catho,Assistente Contábil,https://www.catho.com.br/vagas/assistente-contabil/33224745/,,,,,,,,,"CANDIDATURA FÁCIL Assistente Contábil Empresa ConfidencialPor que? Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Maua - SP (1) Publicada hoje Cadastros; Parametrização de sistema; Estruturação de Plano de Contas; Centro de Custos; Elaboração de demonstrativos contábeis; Conciliação Contábil; Lançamento e emissão de… continuar lendo Enviar Candidatura Fácil"
catho,Operador de Manipulação Farmacêutica,https://www.catho.com.br/vagas/operador-de-manipulacao-farmaceutica/33222257/,,,,,,,,,"CANDIDATURA FÁCIL Operador de Manipulação Farmacêutica Empresa ConfidencialPor que? Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Caetano do Sul - SP (1) Publicada hoje Atividades: "" Auxiliar no preparo, envase e organização de fórmulas manipuladas; "" Realizar procedimentos de higienização e sanitização de áreas e equipamentos; "" Seguir… continuar lendo Enviar Candidatura Fácil"
catho,Extrusor,https://www.catho.com.br/vagas/extrusor/33224702/,,,,,,,,,"CANDIDATURA FÁCIL Extrusor PREMIUM TALENTS Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Guarulhos - SP (1) Publicada hoje Extrusor de mangueira de PVC – Fabrica mangueiras de PVCEnsino medio completo Curso em Extrusor de Plasticos 1 ano com experencia de extrusor de mangueira continuar lendo Enviar Candidatura Fácil"
catho,Assistente Administrativo,https://www.catho.com.br/vagas/assistente-administrativo/32188036/,,,,,,,,,"CANDIDATURA FÁCIL Assistente Administrativo ARC MOBILIDADE De R$ 2.001,00 a R$ 3.000,00 1 vaga: Campo Grande - MS (1) Publicada hoje - Descrição da Vaga: A posição de Assistente Administrativo tem como principal responsabilidade oferecer suporte às rotinas administrativas e operacionais dos serviços de… continuar lendo Enviar Candidatura Fácil"
catho,Assistente Técnico Jr,https://www.catho.com.br/vagas/assistente-tecnico-jr/32181867/,,,,,,,,,"CANDIDATURA FÁCIL Assistente Técnico Jr ARC MOBILIDADE De R$ 2.001,00 a R$ 3.000,00 1 vaga: Rio de Janeiro - RJ (1) Publicada hoje - Descrição da Vaga: O Assistente Técnico será responsável por garantir a continuidade e qualidade dos serviços de rede e videomonitoramento da operação. Atuará no monitoramento… continuar lendo Enviar Candidatura Fácil"
catho,Promotor de Vendas com Moto Campinas,https://www.catho.com.br/vagas/promotor-de-vendas-com-moto-campinas/32087160/,,,,,,,,,"CANDIDATURA FÁCIL Promotor de Vendas com Moto Campinas West Garden Indústria e Comércio Ltda. Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Campinas - SP (1) Publicada hoje vaga prorrogada Atuar com atendimento em PDVs para apresentação de produtos, controle de vendas e organização de produtos. Promover a venda de mercadorias, demonstrando os produtos. Expor… continuar lendo Enviar Candidatura Fácil"
catho,Pesador de Matérias-Primas,https://www.catho.com.br/vagas/pesador-de-materias-primas/33222215/,,rias,,,,,,,"CANDIDATURA FÁCIL Pesador de Matérias-Primas Empresa ConfidencialPor que? Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: São José do Rio Preto - SP (1) Publicada hoje Realizar pesagem de matérias-primas conforme ordens de produção; Conferir lotes, Registrar dados em formulários de controle; Garantir a precisão e rastreabilidade do processo de… continuar lendo Enviar Candidatura Fácil"
catho,Manipulador de Cosméticos,https://www.catho.com.br/vagas/manipulador-de-cosmeticos/33222200/,,,,,,,,,"CANDIDATURA FÁCIL Manipulador de Cosméticos Empresa ConfidencialPor que? Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: São José do Rio Preto - SP (1) Publicada hoje Realizar manipulação de produtos cosméticos conforme fórmulas e instruções de produção; Seguir POPs e normas de Boas Práticas de Fabricação (RDC 48/2013 e ISO 22716); Auxiliar na… continuar lendo Enviar Candidatura Fácil"
catho,AUXILAIR DE ENTREGAS,https://www.catho.com.br/vagas/auxilair-de-entregas/33225853/,,,,,,,,,"CANDIDATURA FÁCIL AUXILAIR DE ENTREGAS TELOS De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Gabriel do Oeste - MS (1) Publicada hoje Auxiliar no carregamento e descarregamento de produtos; Apoiar o motorista nas entregas, garantindo a organização e conferência de mercadorias; Realizar movimentação e separação… continuar lendo Enviar Candidatura Fácil"
catho,Vendedor-MontSerra,https://www.catho.com.br/vagas/vendedor-montserra/33225849/,,,,,,,,,"CANDIDATURA FÁCIL Vendedor-MontSerra SOLUCIONARE AÇÕES E IDÉIAS EM RH De R$ 2.001,00 a R$ 3.000,00 1 vaga: Porto Alegre - RS (1) Publicada hoje Atendimento ao cliente, presencial e online, finalização de vendas em caixa, organização de estoque. Atendimento ao publico Internet Telefone Organização continuar lendo Enviar Candidatura Fácil"
catho,Vendedor de Loja,https://www.catho.com.br/vagas/vendedor-de-loja/33219197/,,,,,,,,,"CANDIDATURA FÁCIL Vendedor de Loja AERO FOR MEN Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Goiania - GO (1) Publicada hoje Relacionamento e atendendimento de clientes atuais e novos; Negociar preços, prazo, condições de pagamento e os descontos dessa venda; Separar e preparar pedidos de… continuar lendo Enviar Candidatura Fácil"
catho,Auxiliar Administrativo,https://www.catho.com.br/vagas/auxiliar-administrativo/33219196/,,,,,,,,,"CANDIDATURA FÁCIL Auxiliar Administrativo Empresa ConfidencialPor que? Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Paulo - SP (1) Publicada hoje Realizar atendimento via telefone/WhatsApp (Suporte ao Cliente e Funcionários) Organizar documentos e arquivos Auxiliar na elaboração de documentos de funcionários Auxiliar na… continuar lendo Enviar Candidatura Fácil"
catho,Operador de Crédito,https://www.catho.com.br/vagas/operador-de-credito/33219353/,,,,,,,,,"CANDIDATURA FÁCIL Operador de Crédito CREFAZ Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Birigui - SP (1) Publicada hoje - Salário: R$ 2.100,00 + comissionamento (Média de ganho: dobro do salário) - Benefícios: Descanso remunerado e comissão - Responsabilidades: Atender aos clientes em formato… continuar lendo Enviar Candidatura Fácil"
catho,Assistente Contábil,https://www.catho.com.br/vagas/assistente-contabil/33219578/,,,,,,,,,"CANDIDATURA FÁCIL Assistente Contábil HUBS Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Bernardo do Campo - SP (1) Publicada hoje A Hubs está em busca de um Assistente Contábil para fortalecer nosso time de contabilidade. Você exercerá atividades como: - Classificação de contas contábeis; - Importação de… continuar lendo Enviar Candidatura Fácil"
catho,Assistente de Engenharia Civil,https://www.catho.com.br/vagas/assistente-de-engenharia-civil/33219577/,,,,,,,,,"CANDIDATURA FÁCIL Assistente de Engenharia Civil Estrela Engenharia Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Piracicaba - SP (1) Publicada hoje Ficará responsável por realizar medições nas obras. Experiência anterior na área, estar cursando Engenharia Civil ou Técnico em Edificações, ter CNH categoria B e prática em… continuar lendo Enviar Candidatura Fácil"
catho,Vendedor de E-commerce,https://www.catho.com.br/vagas/vendedor-de-e-commerce/33219574/,,,,,,,,,"CANDIDATURA FÁCIL Vendedor de E-commerce LGM Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Recife - PE (1) Publicada hoje Realizar vendas de produtos automotivos através do e-commerce Gerenciar a carteira de clientes online Prospectar novos clientes e oportunidades de negócio Manter atualizado o… continuar lendo Enviar Candidatura Fácil"
catho,VENDEDOR TRAINEE,https://www.catho.com.br/vagas/vendedor-trainee/33223109/,,,,,,,,,"CANDIDATURA FÁCIL VENDEDOR TRAINEE CHEVROLET VIAMAR De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Paulo - SP (1) Publicada hoje PROGRAMA DE FORMAÇÃO – VENDEDOR TRAINEE Início da turma: 15/10 Se você tem experiência com vendas e atendimento ao cliente, sabe negociar bem e busca crescimento profissional… continuar lendo Enviar Candidatura Fácil"
catho,Analista Administrativo/Financeiro,https://www.catho.com.br/vagas/analista-administrativo-financeiro/33225186/,,,,,,,,,"CANDIDATURA FÁCIL Analista Administrativo/Financeiro TENDANCERH De R$ 2.001,00 a R$ 3.000,00 1 vaga: Juiz de Fora - MG (1) Publicada hoje Principais atividades: -Gestão administrativa e financeira: controle do fluxo de caixa, contas a pagar e receber, conferência de notas fiscais e apoio na elaboração de relatórios… continuar lendo Enviar Candidatura Fácil"
catho,Mecânico de Automóveis - Retífica,https://www.catho.com.br/vagas/mecanico-de-automoveis-retifica/33225184/,,,,,,,,,"CANDIDATURA FÁCIL Mecânico de Automóveis - Retífica Meet Recrutamento e Seleção De R$ 2.001,00 a R$ 3.000,00 1 vaga: Uberaba - MG (1) Publicada hoje Estamos em busca de um profissional especializado para se juntar ao time como Retificador em Uberlândia. Se você tem experiência comprovada na área e está pronto para assumir um… continuar lendo Enviar Candidatura Fácil"
catho,Operador de Tráfego II - CCR MOTIVA Taquari/RS,https://www.catho.com.br/vagas/operador-de-trafego-ii-ccr-motiva-taquari-rs/33224963/,,,,,,,,,"CANDIDATURA FÁCIL Operador de Tráfego II - CCR MOTIVA Taquari/RS GLOBAL SERVIÇOS SANTO ANDRÉ. De R$ 2.001,00 a R$ 3.000,00 1 vaga: Taquari - RS (1) Publicada hoje **Vaga de Emprego: Operador de Tráfego II - Taquari/RS** ??Taquari/RS Estamos contratando- Operador de Tráfego II Vaga: Operador de Tráfego II ?? Local: Base Operacional 10 – S… continuar lendo Enviar Candidatura Fácil"
catho,Assistente Administrativo,https://www.catho.com.br/vagas/assistente-administrativo/33225766/,,,,,,,,,"CANDIDATURA FÁCIL Assistente Administrativo RH Grandes Talentos e Desenvolvimento de Carreira De R$ 2.001,00 a R$ 3.000,00 1 vaga: São Paulo - SP (1) Publicada hoje ?? Descrição da vaga: Estamos procurando um(a) Assistente Administrativo(a) que será responsável por oferecer suporte às atividades diárias do escritório, garantindo que tudo… continuar lendo Enviar Candidatura Fácil"
catho,Assistente Fiscal,https://www.catho.com.br/vagas/assistente-fiscal/33222997/,,,,,,,,,"CANDIDATURA FÁCIL Assistente Fiscal GD9 RH De R$ 2.001,00 a R$ 3.000,00 1 vaga: Belo Horizonte - MG (1) Publicada hoje Descrição: Atendimento a fornecedor e-mail e telefone; Agilidade e atenção para conferência e lançamento de notas; Garantir o pagamento aos fornecedores visando cumprir o prazo… continuar lendo Enviar Candidatura Fácil"
catho,Auxiliar de Logística,https://www.catho.com.br/vagas/auxiliar-de-logistica/33222985/,,,,,,,,,"CANDIDATURA FÁCIL Auxiliar de Logística MODERNA De R$ 2.001,00 a R$ 3.000,00 1 vaga: Maua - SP (1) Publicada hoje Atividades: Recebimento de mercadorias do fornecedor, organização do estoque, separação de materiais, auxílio no inventário. Descrição das Atividades: Cuidar da armazenagem… continuar lendo Enviar Candidatura Fácil"
catho,Recepcionista,https://www.catho.com.br/vagas/recepcionista/33219436/,,,,,,,,,"CANDIDATURA FÁCIL Recepcionista MOBI TRANSPORTE Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Aparecida de Goiania - GO (1) Publicada hoje Receber e fazer ligações telefônicas gerais, via PABX, registrando e anotando recados e repassando aos respectivos destinatários, a fim de garantir informações… continuar lendo Enviar Candidatura Fácil"
catho,Aplicador de Adesivos,https://www.catho.com.br/vagas/aplicador-de-adesivos/33219432/,,,,,,,,,"CANDIDATURA FÁCIL Aplicador de Adesivos HENKO RECURSOS HUMANOS Vaga com recrutador muito ativo De R$ 2.001,00 a R$ 3.000,00 1 vaga: Osasco - SP (1) Publicada hoje Aplicação de Placas, montagem de logos, pintura (quando necessário), embalagem dos matérias produzidos, organização do ambiente de trabalho. Necessário ter disponibilidade de… continuar lendo Enviar Candidatura Fácil"
